id,number_of_reviews,reviews_per_month,last_review
268481,1,0.01,2013-09-24
269283,30,0.31,2021-07-02
269404,19,0.16,2014-10-22
269889,272,2.76,2021-08-01
270139,21,0.21,2018-12-31
270231,285,2.5,2019-12-16
270315,18,0.72,2019-03-27
270345,31,0.27,2020-09-07
271694,19,0.18,2015-09-08
272026,21,0.33,2020-03-03
272044,64,1.84,2021-07-14
273190,28,0.25,2019-07-01
274329,137,1.54,2021-07-23
274376,11,0.4,2020-03-04
274743,1,0.01,2014-08-31
274995,8,0.07,2012-05-21
275976,227,2.0,2020-06-22
276317,118,1.95,2021-07-31
276994,3,0.15,2020-03-09
277207,17,0.2,2015-06-01
277883,59,0.72,2017-12-18
278090,239,2.16,2021-06-30
278145,3,0.03,2017-06-20
278631,7,0.06,2013-04-21
278876,1,0.02,2017-03-18
279857,152,1.6,2021-08-01
280315,26,0.31,2014-10-04
281521,1,0.01,2012-10-02
281756,18,0.18,2019-06-19
281851,118,1.68,2019-11-26
282977,255,2.36,2021-08-03
283550,10,0.21,2019-04-15
284855,103,2.36,2021-06-24
285515,19,0.23,2016-03-31
286662,274,2.54,2021-07-31
286838,101,1.22,2015-05-31
287397,45,1.43,2020-01-27
287408,73,0.88,2018-07-21
287421,103,1.37,2017-07-04
287845,125,1.74,2021-05-01
288726,55,0.85,2020-01-03
289020,15,0.14,2017-04-13
289665,157,1.46,2016-08-11
289703,8,0.08,2016-11-26
290123,4,0.04,2018-09-21
292121,6,0.17,2015-01-02
292266,18,0.15,2019-09-24
292800,114,1.15,2021-05-01
293837,55,0.57,2018-10-09
294227,45,0.51,2020-10-30
294242,79,0.75,2021-07-08
294250,115,1.69,2021-07-18
294259,108,0.97,2021-07-18
294263,117,1.07,2021-07-19
294280,32,0.42,2021-06-13
294490,61,0.72,2021-06-15
295231,1,0.01,2014-03-24
295998,50,1.07,2021-05-01
296361,63,1.05,2019-05-06
296717,21,0.26,2019-12-01
297611,1,0.03,2018-05-13
298759,40,1.27,2020-11-01
298782,48,0.51,2019-09-13
301372,28,0.58,2020-01-11
302057,163,1.6,2019-09-16
302238,7,0.06,2020-10-12
302280,8,0.17,2020-08-22
302309,5,0.05,2020-10-05
302705,1,0.05,2020-01-11
302758,12,0.14,2014-09-02
303264,7,0.06,2018-01-20
305211,261,2.96,2020-02-18
305245,9,0.09,2013-06-11
306702,16,0.14,2018-09-01
306799,129,1.19,2019-06-30
310272,51,0.58,2019-06-28
310325,34,1.3,2018-05-12
310524,25,0.52,2021-07-09
310796,25,0.42,2021-05-11
311003,1,0.01,2013-04-21
311356,110,1.55,2020-01-30
312415,59,0.69,2016-12-26
312429,65,0.67,2019-11-10
314982,151,1.4,2020-02-17
318021,59,0.71,2021-07-12
319798,83,0.9,2020-03-19
320877,26,0.45,2017-06-24
321014,18,0.22,2017-10-29
321136,32,0.53,2021-07-26
322037,275,3.64,2021-05-15
323453,64,1.46,2021-07-31
324800,25,0.29,2018-12-22
325429,116,1.08,2021-07-18
326832,37,0.54,2019-08-05
328040,31,0.9,2021-04-09
328744,47,0.46,2021-07-25
328788,93,0.83,2021-06-29
329310,16,0.82,2020-12-18
332208,1,1.0,2021-07-16
333323,146,1.8,2020-03-25
334607,53,1.31,2019-05-03
334781,27,1.05,2021-08-01
341525,80,0.97,2021-04-17
342995,88,0.78,2019-10-13
343276,135,1.45,2021-07-06
343971,56,0.79,2018-07-16
344092,19,0.17,2016-06-05
346579,3,0.03,2018-11-30
351530,7,0.12,2021-07-23
351859,90,0.89,2021-07-10
352651,11,0.1,2019-06-23
353317,159,1.88,2020-03-01
354095,50,0.5,2021-04-17
355106,44,0.78,2019-10-31
361803,12,0.12,2014-01-03
363016,3,0.03,2017-10-01
364785,34,0.52,2020-03-14
365439,26,0.32,2016-10-21
367810,3,0.05,2019-04-24
369409,219,1.96,2017-09-12
373618,71,2.63,2021-07-17
374548,293,2.72,2020-02-05
378460,17,0.15,2019-06-17
380416,26,0.8,2020-11-09
380730,3,0.05,2016-06-01
382523,11,0.1,2019-11-04
382524,18,0.34,2019-04-04
385657,2,0.03,2012-04-17
385824,78,1.97,2021-07-19
386507,5,0.05,2015-12-07
386555,7,0.12,2019-11-03
386744,101,1.36,2021-05-01
386799,116,1.06,2015-11-29
387666,9,0.29,2020-01-03
389482,58,0.61,2017-01-07
392948,13,0.35,2019-08-10
393094,31,0.4,2019-08-16
394111,16,0.27,2017-01-01
396636,42,0.5,2019-04-25
397034,25,0.22,2013-06-22
397297,93,1.12,2015-08-25
398850,47,0.57,2016-06-21
399946,80,1.03,2020-10-01
400039,53,0.57,2017-06-30
403668,16,0.14,2019-01-02
403712,6,0.06,2012-09-25
404923,275,2.56,2021-07-20
405025,101,1.18,2020-09-21
407469,116,1.08,2019-07-22
408983,110,1.82,2021-07-31
409262,27,0.34,2021-05-31
409666,9,0.08,2016-09-18
411918,135,1.32,2019-07-08
412061,60,0.57,2020-01-31
413504,138,1.66,2018-09-03
415304,1,0.02,2016-05-31
416557,47,0.44,2021-03-31
417685,217,2.98,2021-07-19
419373,224,2.09,2020-02-16
419792,5,0.16,2018-05-05
421539,54,0.51,2020-03-08
423015,37,0.43,2019-09-30
423275,45,0.44,2018-12-14
430427,13,0.12,2017-01-31
430665,8,0.09,2014-08-15
432090,69,0.65,2015-09-25
433218,49,0.67,2020-03-03
433414,104,1.04,2020-12-13
434792,112,3.21,2021-07-07
435909,19,0.17,2016-12-24
436916,7,0.06,2016-09-20
437352,19,0.18,2021-03-27
437906,4,0.06,2015-10-07
438513,104,0.98,2021-05-24
439750,10,0.1,2018-05-19
439870,2,0.09,2020-01-05
442649,11,0.22,2019-07-01
444171,7,0.08,2017-04-17
444430,23,0.21,2018-03-27
447766,1,0.01,2014-08-21
448048,32,0.3,2019-08-31
448049,55,0.58,2018-09-02
449034,160,1.97,2021-01-21
449660,127,2.43,2019-09-30
450577,91,2.04,2021-05-23
450578,29,0.36,2019-08-10
452068,3,0.04,2015-08-16
452541,152,2.86,2021-07-05
453094,389,3.8,2021-07-11
453255,15,0.17,2019-12-27
453317,7,0.07,2019-07-30
454334,3,0.03,2012-05-20
454763,11,0.13,2018-08-16
455734,144,1.83,2021-05-22
455801,109,1.02,2018-05-24
456110,23,0.3,2015-08-23
456190,319,4.25,2021-07-18
456457,7,0.06,2015-12-12
456526,48,1.18,2021-06-20
457829,178,1.64,2021-07-05
459066,23,0.22,2019-01-01
460999,9,0.31,2021-07-31
462454,4,0.1,2018-03-21
463042,57,0.65,2021-07-02
463107,20,0.19,2018-12-16
464231,2,0.02,2012-05-29
465706,6,0.58,2021-02-25
466277,145,2.07,2021-07-26
466457,249,2.83,2021-07-18
467569,36,0.42,2019-10-27
467634,481,5.16,2020-12-11
467866,216,2.23,2020-02-18
470498,8,0.09,2015-06-29
471712,74,0.76,2019-08-19
471758,3,0.04,2018-06-19
471845,3,0.03,2013-05-27
471914,13,0.13,2019-06-30
476899,18,0.25,2020-12-01
476983,528,4.76,2021-08-01
478053,62,0.57,2021-07-01
478832,2,0.02,2013-01-07
479002,48,0.92,2021-08-01
479285,1,0.01,2012-12-30
483414,24,1.24,2019-12-01
483505,99,1.55,2021-07-23
484297,12,0.23,2018-09-12
484312,38,0.52,2021-07-21
484728,4,0.05,2019-08-05
486350,13,0.2,2016-07-19
489018,64,0.58,2019-06-23
491123,142,1.73,2021-07-11
491529,52,1.86,2020-03-08
491942,24,0.27,2016-10-09
492785,72,0.71,2016-08-21
492810,7,0.32,2020-04-01
493611,74,0.74,2021-05-09
494937,119,1.29,2021-07-25
495249,234,2.46,2019-11-18
496166,13,0.27,2021-07-26
498052,153,1.75,2020-03-01
