id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,availability_365
25257884,Manhattan,Morningside Heights,40.81461,-73.96114,Entire home/apt,240
25262795,Brooklyn,Gravesend,40.59979,-73.98251,Entire home/apt,0
25263845,Manhattan,Washington Heights,40.85137,-73.94066,Private room,0
25264664,Manhattan,Civic Center,40.7167,-74.00226,Entire home/apt,2
25274961,Queens,Woodside,40.75407,-73.9019,Private room,87
25277640,Brooklyn,Sunset Park,40.6639,-73.99688,Entire home/apt,194
25278248,Brooklyn,Bushwick,40.69,-73.9209,Private room,0
25280641,Manhattan,Greenwich Village,40.73088,-74.00028,Entire home/apt,0
25281618,Brooklyn,Williamsburg,40.71465,-73.96025,Entire home/apt,0
25283412,Brooklyn,Bedford-Stuyvesant,40.68676,-73.93393,Private room,0
25284006,Brooklyn,Williamsburg,40.70641,-73.93754,Entire home/apt,2
25284335,Queens,Long Island City,40.749435,-73.94783,Shared room,363
25285159,Brooklyn,Bushwick,40.68862,-73.91215,Private room,0
25288200,Manhattan,East Harlem,40.79412,-73.94731,Private room,0
25289848,Brooklyn,Bedford-Stuyvesant,40.6845,-73.95537,Entire home/apt,0
25290572,Manhattan,Midtown,40.75186,-73.97198,Entire home/apt,0
25290749,Manhattan,Hell's Kitchen,40.76254,-73.98755,Entire home/apt,1
25290969,Manhattan,Midtown,40.75312,-73.97336,Entire home/apt,0
25292820,Manhattan,Harlem,40.8126,-73.94297,Entire home/apt,0
25293702,Manhattan,Harlem,40.82188,-73.95509,Private room,90
25293994,Manhattan,Upper East Side,40.76775,-73.95436,Entire home/apt,0
25296394,Bronx,Pelham Bay,40.85496,-73.82958,Entire home/apt,349
25308563,Queens,Jackson Heights,40.74984,-73.87552,Private room,328
25308697,Manhattan,Upper West Side,40.78577,-73.97204,Entire home/apt,26
25309799,Brooklyn,Williamsburg,40.71447,-73.96012,Private room,0
25313204,Brooklyn,Bedford-Stuyvesant,40.6927,-73.94513,Entire home/apt,306
25313748,Manhattan,Hell's Kitchen,40.75778,-73.99327,Entire home/apt,307
25315154,Bronx,Pelham Gardens,40.8605,-73.83927,Entire home/apt,113
25315860,Brooklyn,Sheepshead Bay,40.60078,-73.95111,Private room,0
25316571,Brooklyn,Greenpoint,40.7268,-73.95183,Entire home/apt,0
25317793,Queens,Sunnyside,40.74104,-73.92636,Private room,161
25319136,Manhattan,SoHo,40.72644,-74.0006,Entire home/apt,187
25319356,Manhattan,Washington Heights,40.83334,-73.94148,Private room,43
25323446,Queens,East Elmhurst,40.76874,-73.87813,Entire home/apt,304
25323809,Bronx,Kingsbridge,40.879,-73.90223,Private room,129
25325029,Brooklyn,Bushwick,40.69761,-73.92179,Private room,0
25328184,Brooklyn,Bedford-Stuyvesant,40.68786,-73.92713,Entire home/apt,4
25336605,Queens,Long Island City,40.75168,-73.94023,Entire home/apt,0
25340516,Manhattan,Upper East Side,40.76599,-73.96752,Entire home/apt,18
25340524,Manhattan,Gramercy,40.73655,-73.98787,Entire home/apt,0
25342124,Manhattan,Upper West Side,40.76937,-73.98579,Private room,0
