id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7254952,Prime Park Slope  Family Home,16183358,Kim,Brooklyn,Park Slope,40.67475,-73.98245,Entire home/apt,175,30,6,2019-09-02,0.08,1,0
7254973,BROOKLYN Downtown/Dumbo Loft for 6,1489696,Mike,Brooklyn,Downtown Brooklyn,40.6984,-73.98476,Entire home/apt,148,30,351,2020-08-10,4.81,1,0
7254986,Country House in the City,3695529,Jenni,Brooklyn,Carroll Gardens,40.68393,-73.9948,Entire home/apt,600,30,16,2020-12-14,0.25,2,168
7255372,~Room for Guest in Stunning BK Apt~,37987441,Addie,Brooklyn,Bedford-Stuyvesant,40.68678,-73.9228,Private room,39,7,8,2021-02-01,0.11,1,0
7257163,Super Charming West Village Place,1467387,Ali,Manhattan,West Village,40.73489,-74.00273,Entire home/apt,175,30,17,2017-03-29,0.29,1,0
7257311,Cozy Walk-up Apt in the Historic Lower East Side.,14726038,Kimberly,Manhattan,Chinatown,40.71455,-73.99083,Entire home/apt,69,30,13,2018-04-04,0.22,1,0
7258306,Studio in the Heart of Greenwich!!!,23387933,John,Manhattan,Greenwich Village,40.72878,-74.00004,Entire home/apt,140,30,1,2015-07-13,0.01,1,0
7259369,1 Bedroom Apartment in Nolita/ Soho,20404001,Emma,Manhattan,Nolita,40.72057,-73.99454,Entire home/apt,80,30,1,2015-07-12,0.01,1,0
7264263,Beautiful classic NYC studio,5030772,Jessica,Manhattan,Upper East Side,40.77214,-73.95348,Entire home/apt,120,30,13,2016-11-28,0.18,1,0
7264560,"Spacious Room in Creative Neighborhood, JMZ line",37362312,Francesco,Brooklyn,Bushwick,40.69618,-73.93263,Private room,50,30,8,2020-02-28,0.15,1,0
7264659,Olivier,6994503,Olivier,Manhattan,Upper West Side,40.78735,-73.97541,Entire home/apt,200,4,18,2019-11-06,0.25,1,0
7265079,Park Slope sweet cozy home! Wifi!,912400,Ming,Brooklyn,Park Slope,40.67383,-73.97764,Private room,102,5,136,2021-07-15,1.96,1,289
7265118,177st. Manhattan,7118658,Tim,Manhattan,Washington Heights,40.84708,-73.94258,Private room,250,30,11,2018-05-24,0.15,1,365
7265249,"South Slope Sunny 2 Bedroom, 2 bath",38038797,Robin,Brooklyn,Sunset Park,40.66112,-73.98785,Entire home/apt,125,30,15,2019-08-05,0.77,1,0
7265253,1 Bed in a Lux Apt on Wall Street,15899061,Amelia,Manhattan,Financial District,40.70583,-74.00717,Shared room,47,30,2,2015-08-17,0.03,1,0
7265331,Newly renovated near subways and the cloisters!,26548265,Joanna,Manhattan,Washington Heights,40.85907,-73.93162,Private room,50,1,2,2015-09-11,0.03,1,0
7272680,Sunny Double Room,8792814,Carlene,Brooklyn,Bedford-Stuyvesant,40.69386,-73.9457,Private room,33,1,27,2021-07-28,1.18,10,323
7275655,Cosy 1 bed in trendy East Village!,19491505,Kristine,Manhattan,East Village,40.72413,-73.98283,Entire home/apt,170,30,5,2016-04-04,0.07,1,0
7277143,Quiet private room upper east side,24821272,Sabrina,Manhattan,Upper East Side,40.77877,-73.94824,Private room,100,30,3,2015-07-24,0.04,1,0
7278762,"Private Roof, balcony 2 BR Queens Center",22816592,Susi,Queens,Elmhurst,40.73564,-73.87221,Entire home/apt,170,30,137,2021-05-15,2.03,1,319
7279583,The Harlem Mansion,1557442,Chris,Manhattan,Harlem,40.80838,-73.95012,Entire home/apt,450,30,48,2017-09-06,0.83,1,215
7288752,Comfortable Greenpoint Apt. Short or Longer Stay,38169148,Liz,Brooklyn,Greenpoint,40.72642,-73.94519,Private room,70,30,3,2016-11-16,0.05,1,0
7292891,Large 2 BR Apartment in Chelsea,9403624,Carol,Manhattan,Chelsea,40.74604,-73.99939,Entire home/apt,200,30,15,2020-01-01,0.31,1,0
7302762,Spacious Duplex With Private Deck,1533248,Emily,Brooklyn,Greenpoint,40.72556,-73.94974,Entire home/apt,220,30,2,2015-11-29,0.03,1,0
7304034,SPACIOUS Lower East Side DUPLEX 3 bed 2 ba COMFY,37623794,Amanda,Manhattan,East Village,40.72472,-73.98756,Entire home/apt,299,30,97,2020-02-09,1.49,1,365
7307468,Large Room in Brooklyn w/ Office,26364541,Claire,Brooklyn,Bedford-Stuyvesant,40.69301,-73.94229,Private room,49,30,1,2015-07-20,0.01,1,0
7309129,Beautiful Airy Lower East Side Loft,7737249,Casandra,Manhattan,Chinatown,40.71451,-73.9912,Entire home/apt,185,30,52,2021-05-31,1.13,2,258
